title,ranking,year,duration,genre,rating,directors,votes
 Crying Freeman,138.,(1988–1994),52 min,"Animation, Action, Crime",6.540000000000001,"Harunisa Okamoto,Takaaki Yamashita,Shigeyasu Yamauchi,Toshio Furukawa,Chiharu Kataishi,Gara Takashima,Mika Doi, Daisuke Nishio,Nobutaka Nishizawa,Toshio Furukawa,Steve Bulen,Chiharu Kataishi,Edie Mirman",1091.0
 Curro Jiménez,"5,546.",(1976–1979),Desconhecido,,7.2749999999999995,,272.0
 Cyberzone,"5,575.",(1993),Desconhecido,,,,0.0
 Código fuego,"5,576.",(2003– ),Desconhecido,,,,0.0
 Da Boom Crew,"3,919.",(2004–2005),21 min,"Animation, Action, Family",,,0.0
 Dai-Guard,"4,833.",(1999–2000),23 min,"Animation, Action, Adventure",,,0.0
 Danger Man,"5,610.",(1960–1962),26 min,"Action, Adventure, Crime",7.428947368421053,,3693.0
 Danger UXB,"5,665.",(1979),Desconhecido,"Action, Drama, History",8.546153846153846,,725.0
 Dangerous Curves,"5,678.",(1992– ),Desconhecido,"Action, Drama",7.35,,13.0
 Danny Phantom,"5,712.",(2003–2007),24 min,"Animation, Action, Adventure",7.726923076923077,"Wincat Alcala,Butch Hartman,Kevin Petrilak,Colleen O'Shaughnessey,David Kaufman,Taylor Lautner,S. Scott Bullock, Wincat Alcala,Richard Bowman,Butch Hartman,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Dee Bradley Baker, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,Martin Mull,Brian Cox,Colleen O'Shaughnessey, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,Rob Paulsen,Colleen O'Shaughnessey,Rickey D'Shon Collins, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,S. Scott Bullock,Maria Canals-Barrera,Rickey D'Shon Collins, Wincat Alcala,Butch Hartman,Juli Murphy,David Kaufman,Michael Dorn,Colleen O'Shaughnessey,Rickey D'Shon Collins, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Colleen O'Shaughnessey, Wincat Alcala,Butch Hartman,Juli Murphy,David Kaufman,Rob Paulsen,Kath Soucie,S. Scott Bullock, Ken Bruce,Gary Conrad,Butch Hartman,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Ron Perlman, Wincat Alcala,Richard Bowman,Butch Hartman,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Rob Paulsen, Wincat Alcala,Butch Hartman,David Kaufman,Rob Paulsen,Kath Soucie,Colleen O'Shaughnessey, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,S. Scott Bullock,Rickey D'Shon Collins,Grey Griffin, Wincat Alcala,Butch Hartman,Kevin Petrilak,David Kaufman,Will Arnett,Dee Bradley Baker,Kimberly Brooks, Wincat Alcala,Butch Hartman,Juli Murphy,David Kaufman,Rob Paulsen,Kath Soucie,Rickey D'Shon Collins, Wincat Alcala,Butch Hartman,Juli Murphy,David Kaufman,Kath Soucie,Rickey D'Shon Collins,Grey Griffin, Ken Bruce,Gary Conrad,Butch Hartman,David Kaufman,Rickey D'Shon Collins,Maria Canals-Barrera,Grey Griffin, Ken Bruce,Gary Conrad,Butch Hartman,David Kaufman,Kimberly Brooks,S. Scott Bullock,Maria Canals-Barrera, Wincat Alcala,Sean Dempsey,Butch Hartman,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Rob Paulsen, Ken Bruce,Gary Conrad,Butch Hartman,David Kaufman,June Angela,S. Scott Bullock,Rickey D'Shon Collins, Gary Conrad,Butch Hartman,Juli Murphy,David Kaufman,Rickey D'Shon Collins,Grey Griffin,Martin Mull",3780.0
 Dark Angel,"5,763.",(2000–2002),44 min,"Action, Drama, Mystery",7.480487804878049,,15864.0
 Dark Oracle,"5,779.",(2004–2006),23 min,"Animation, Action, Adventure",7.65,,46.0
